%20141201~221624	%User ID,JU,JU Judy	%TU=00000362	%PT-BR	%Wordfast TM v.546/00	%EN-US	%-----------					                                                            .
20141202~064725	Judy	0	PT-BR	&tA;Análise de Cenários:	EN-US	&tA;Scenario Analysis:
20141202~064725	Judy	0	PT-BR	Mundo Físico VS Contratual&tA;	EN-US	Physical vs. Contractual World&tA;
20141202~064725	Judy	0	PT-BR	AMG Mineração	EN-US	AMG Mineração
20141202~064725	Judy	0	PT-BR	Novembro de 2014	EN-US	November 2014
20141202~064725	Judy	0	PT-BR	MUNDO FÍSICO	EN-US	PHYSICAL WORLD
20141202~064725	Judy	0	PT-BR	MUNDO CONTRATUAL	EN-US	CONTRACTUAL WORLD
20141202~064725	Judy	0	PT-BR	&tA;Matriz Brasileira&tB;Capacidade instalada&tC;	EN-US	&tA;Brazilian Energy Matrix &tB;Installed Capacity&tC;
20141202~064725	Judy	0	PT-BR	Capacidade Instalada	EN-US	Installed Capacity
20141202~064725	Judy	0	PT-BR	(sem importação):	EN-US	(excluding imports):
20141202~064725	Judy	0	PT-BR	131 GW	EN-US	131 GW
20141202~064726	Judy	0	PT-BR	ANEEL &tA;Atualizado em 09/09/2014&tB;	EN-US	ANEEL &tB;Updated on September 9, 2014&tA;
20141202~064726	Judy	0	PT-BR	Importação referente à Paraguai (Itaipu), Argentina, Venezuela e Uruguai.	EN-US	Imports from Paraguay (Itaipu), Argentina, Venezuela and Uruguay
20141202~064726	Judy	0	PT-BR	&tA;Expansão da capacidade instalada &tB;pós-racionamento (2001)&tC;	EN-US	&tA;Expansion of the installed capacity &tB;following the 2001 rationing&tC;
20141202~064726	Judy	0	PT-BR	&tA;A carga de energia retornou ao patamar de 2000 três anos depois.	EN-US	&tA;Three years later the energy load was back to the same level as in 2000.
20141202~064726	Judy	0	PT-BR	No período retratado no gráfico, a capacidade instalada quase dobrou e a carga cresceu 50%.	EN-US	Between 2000 and 2014 (the period shown in the chart), installed capacity almost doubled, and the load increased 50%.
20141202~064726	Judy	0	PT-BR	&tA;Carga de energia = Volume de energia requerido ao sistema gerador.	EN-US	&tA;Energy load = Volume of energy demanded from the generating system.
